year,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
199706,0.027198198198198197,0.03984684684684685,0.034927927927927926,0.02281981981981982,0.021063063063063058,0.042819819819819825,0.013441441441441443,0.00709009009009009,0.022603603603603604,0.03184684684684684,0.1434954954954955,0.024657657657657657,0.017738738738738737,0.04384684684684685,0.011522522522522524,0.029387387387387387,0.03125225225225224,0.07838738738738739,0.03998198198198198,0.09733333333333331,0.0066306306306306295,0.004819819819819819,0.027468468468468465,0.03871171171171171,0.03838738738738739,0.030171171171171175,0.01744144144144144,0.013981981981981983,0.01936036036036036,0.021765765765765766
199707,0.046028536119537125,0.06375688124929782,0.02897427255364566,0.05482530052803055,0.007673295135378047,0.040315694865745426,0.01320076395910572,0.009543871475115154,0.02305920683069318,0.027491293113133357,0.16168408044039997,0.030238175485900458,0.008650713402988428,0.04011347039658465,0.010302213234468038,0.036085833052466015,0.030827996854286034,0.0530389843837771,0.04896079092236827,0.07634535445455566,0.025165711717784516,0.01087518256375688,0.010841478485563421,0.03593416470059544,0.03895067969891024,0.01036962139085496,0.008162004269183239,0.0158802381754859,0.016756544208515894,0.015947646331872824
199708,0.050234472198296486,0.014934443487415062,0.0781701598239066,0.04271222126519284,0.024897119341563786,0.047176763326634126,0.011302516987271508,0.012666283854914345,0.01949947363384056,0.026347018853478798,0.1357354770791463,0.024078859220978084,0.010297636137429417,0.029734902861517854,0.0080294765049287,0.034027179634414775,0.03672600248827639,0.0625514403292181,0.05092353335247392,0.033539094650205756,0.046243659680352184,0.010498612307397837,0.029907168150062207,0.024394678916642744,0.04393243372571538,0.022169585606278117,0.011460426835103836,0.030854627237056176,0.017733754426260885,0.009220978084027179
199709,0.020700392833189613,0.03929769090734886,0.06102807320111142,0.038895276420427324,0.021821404618185304,0.01993867969723101,0.01345693206860209,0.006385934655552361,0.041726549774839514,0.022080099645492002,0.1472022611861646,0.05773689757593178,0.015555236178978634,0.03385072338794673,0.0016000766503784611,0.06371562709590878,0.036408929769090735,0.06628820542301428,0.03022899300565297,0.012537127527067163,0.06671936380185876,0.016834339369550637,0.01807032672223819,0.024005940404330746,0.04921433362077225,0.026937817380473315,0.0072769953051643205,0.012350292229567881,0.014204273258599215,0.013931206285331035
199710,0.042364580272308744,0.039058673719267314,0.025717504162993437,0.01051033401900284,0.004765403075717504,0.0576158291703399,0.013272602605544128,0.011715153296111275,0.01336076011362523,0.026334606719561178,0.19733078656087766,0.043437163287295515,0.007806837104515621,0.03751591732784798,0.00624938779508277,0.06042217651092173,0.04273190322264668,0.041497698109511205,0.047389558232931735,0.009070428053678126,0.10253207953766286,0.0121559408365168,0.015829170339896163,0.01168576746008424,0.03468018415123911,0.02039866784210011,0.017151532961112742,0.017900871779802135,0.012038397492408658,0.01746008423939661
199711,0.06038414845646896,0.017590183836281654,0.0601890391952827,0.009915886229621921,0.011073534512660422,0.028633368019424215,0.010384148456468956,0.0039715574054804016,0.018110475199445024,0.026214013180714535,0.1528139091224419,0.022207769684356574,0.028841484564689563,0.025537634408602156,0.01666666666666667,0.06405220256677073,0.028776448144294142,0.0624262920568852,0.0667317030870621,0.01096947624002775,0.05509018383628165,0.03319892473118279,0.022467915365938264,0.011775927852930974,0.05148716614637531,0.031117759278529313,0.009343565730142212,0.019853451266042318,0.017499132847728062,0.022676031911203612
199712,0.0466610471106116,0.031361805750679025,0.08543598389060598,0.028509881052730168,0.02190690268802098,0.04858574505947362,0.01405357310105835,0.007942305891167931,0.03546408167088134,0.02433736068183947,0.14260091786082235,0.025531516343542192,0.04697012269364054,0.020740844806593613,0.03786644188442446,0.0299709656270488,0.03573101058349722,0.056902688020979676,0.035421935000468294,0.0078299147700665,0.02179451156691955,0.023466329493303364,0.014292404233398896,0.008181137023508474,0.059417439355624234,0.026500889763042053,0.005301114545284256,0.026809965346070996,0.018647560176079426,0.011763604008616653
199801,0.03483173310057221,0.03747939094171273,0.0379594607700514,0.0113083115119775,0.00762777616138105,0.047633595189603334,0.023848317331005724,0.010959169818640287,0.03039472408107847,0.02896906216661817,0.13416254485500922,0.025419454951023185,0.044971389777907086,0.029914654252739804,0.09011250121229755,0.045567840170691494,0.0376248666472699,0.05342352827077877,0.04661526525070313,0.0072204441858209675,0.007816894578605372,0.013475899524779362,0.02304820095044128,0.014072349917563768,0.05419454951023178,0.02566676365047037,0.015774415672582677,0.03631558529725536,0.015730772960915525,0.007860537290272524
199802,0.06277753903452227,0.03228763787423005,0.02347801174616817,0.005396791290646039,0.007309124767225327,0.052420856610800745,0.019395502077066324,0.021135940409683425,0.01046769803753044,0.024165592322016902,0.15716945996275605,0.02607792579859619,0.039088239507233925,0.033351239077496056,0.0753366279902593,0.04727474573843289,0.04808050422575562,0.041655923220169026,0.04658716516258416,0.011391634436327173,0.0056116602205987685,0.01270233490903882,0.03035381750465549,0.02814066752614238,0.03750895287208136,0.013400658931385187,0.02359618965764217,0.04006589313851884,0.010940409683426444,0.012831256267010458
199803,0.07534920927942895,0.028948987754599715,0.032788751461448516,0.020023383176419912,0.013709925543043506,0.04233277952126022,0.014411420835640888,0.008024121592517383,0.01090394437265399,0.032677989046827886,0.15879945849486188,0.03653621315611346,0.02493385022460156,0.033767152790597506,0.06910036305458125,0.046061780813488405,0.04187126946034091,0.037874592332779525,0.04344040366746662,0.012288474555411976,0.00312288474555412,0.0139868315795951,0.027785982401083004,0.013229955079687408,0.04528644391114393,0.031099624638483786,0.017217402006030398,0.039776013783767154,0.01313765306750354,0.011513137653067506
199804,0.04307656581740976,0.0441713110403397,0.030984607218683645,0.0359806263269639,0.008114384288747344,0.036736995753715494,0.013946390658174098,0.019947584925690022,0.016703158174097663,0.019957537154989383,0.16931064225053077,0.02759089702760085,0.012105228237791933,0.02999933651804671,0.041524018046709125,0.05272027600849257,0.031940021231422505,0.05432258492569002,0.06761876326963906,0.042479432059447986,0.007955148619957537,0.014682855626326968,0.012961119957537154,0.018395037154989382,0.04483811040339702,0.026416533970276008,0.01878317409766455,0.02010682059447983,0.020942807855626324,0.015688030785562634
